P -200, -100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, -300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, -500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -70, -352, 28, -70, -350, 28, 0, 255, 255
L -50, -350, 28, -54, -350, 28, 205, 133, 63
L -50, -347, 28, -54, -347, 28, 205, 133, 63
L -54, -350, 28, -54, -348, 28, 205, 133, 63
L -50, -350, 28, -50, -348, 28, 205, 133, 63
L -48, -348, 28, -48, -350, 28, 0, 255, 255
L -57, -348, 28, -57, -347, 28, 0, 255, 255
L -48, -348, 28, -50, -348, 28, 205, 133, 63
L -54, -348, 28, -54, -347, 28, 205, 133, 63
L -50, -348, 28, -50, -347, 28, 205, 133, 63
L -54, -348, 28, -57, -348, 28, 205, 133, 63
L -72, -363, 28, -83, -363, 28, 0, 255, 255
L -74, -360, 28, -74, -354, 28, 205, 133, 63
L -70, -354, 28, -70, -360, 28, 205, 133, 63
L -74, -360, 28, -72, -360, 28, 205, 133, 63
L -74, -354, 28, -72, -354, 28, 205, 133, 63
L -72, -352, 28, -70, -352, 28, 0, 255, 255
L -72, -352, 28, -72, -354, 28, 205, 133, 63
L -72, -360, 28, -70, -360, 28, 205, 133, 63
L -72, -354, 28, -70, -354, 28, 205, 133, 63
L -72, -360, 28, -72, -363, 28, 205, 133, 63
L -73, -323, 14, -73, -312, 14, 0, 255, 0
L -96, -397, 28, -96, -312, 28, 0, 255, 255
L -89, -400, 28, -93, -400, 28, 205, 133, 63
L -89, -395, 28, -93, -395, 28, 205, 133, 63
L -89, -400, 28, -89, -397, 28, 205, 133, 63
L -93, -400, 28, -93, -397, 28, 205, 133, 63
L -87, -397, 28, -87, -400, 28, 0, 255, 255
L -96, -397, 28, -93, -397, 28, 205, 133, 63
L -89, -397, 28, -89, -395, 28, 205, 133, 63
L -93, -397, 28, -93, -395, 28, 205, 133, 63
L -89, -397, 28, -87, -397, 28, 205, 133, 63
L 30, -347, 28, 34, -347, 28, 205, 133, 63
L 34, -350, 28, 30, -350, 28, 205, 133, 63
L 28, -348, 28, 28, -347, 28, 0, 255, 255
L 37, -348, 28, 37, -350, 28, 0, 255, 255
L 28, -348, 28, 30, -348, 28, 205, 133, 63
L 34, -347, 28, 34, -348, 28, 205, 133, 63
L 34, -348, 28, 37, -348, 28, 205, 133, 63
L 34, -348, 28, 34, -350, 28, 205, 133, 63
L 30, -347, 28, 30, -348, 28, 205, 133, 63
L 30, -348, 28, 30, -350, 28, 205, 133, 63
L 21, -494, -51, 21, -493, -51, 221, 160, 221
L 16, -489, -51, 16, -488, -51, 221, 160, 221
L 16, -488, -51, 15, -487, -51, 221, 160, 221
